acemi: toy
hareket: kinetik
aciz: güçsüz
hasım: düşman
ad: isim
hasret: özlem
adalet: hak
hatıra: anı
adet: sayı
hediye: armağan
aka: büyük
hekim: doktor
akıl: us
hısım: dost
al: kırmızı
ırak: uzak
alelade: sıradan
ırmak: nehir
aleni: açık
idadi: lise
ara: fasıla
idare: yönetim
araba: otomobil
ihtiyar: yaşlı
armağan: hediye
ihtiyaç: gereksinim
aşk: sevi
ilan: duyuru
atik: seri
ilişki: münasebet
ayakkabı: pabuç
imtihan: sınav
ayrım: fark
isim: ad
ayrıntı: detay
istasyon: gar
bacı: kız kardeş
istikbal: gelecek
bağışlama: affetme
işçi: amele
basınç: tazyik
ivedi: çabuk
baş: kafa
izahat: açıklama
bayağı: adi
kabiliyet: yetenek
bencil: egoist
kafa: baş
beyaz: ak
kahin: medyum
bonkör: cömert
kalp: yürek
cennet: aden
kanıt: delil
cevap: yanıt
kara: siyah
cılız: zayıf
kelime: sözcük
cimri: pinti
kılavuz: rehber
cümle: tümce
kırmızı: al
çabuk: acele
kıyı: kenar
çağrı: davet
kirli: pis
çamur: balçık
kişi: şahıs
çare: deva
kolay: basit
değerli: kıymetli
konuk: misafir
deneyim: tecrübe
kural: kaide
denk: müsavi
kuvvetli: güçlü
deprem: zelzele
küçük: ufak
dil: lisan
lider: önder
dilek: istek
mal: meta
dize: mısra
mani: engel
dizi: sıra
matem: yas
doktor: hekim
mektep: okul
dost: arkadaş
mektup: name
duygu: his
merkep: eşek
edebiyat: yazın
misafir: konuk
edep: adap
misal: örnek
ehemniyet: önem
mizah: gülmece
elbise: esbap
muharebe: savaş
emniyet: güven
mübarek: kutsal
ender: nadir
namzet: aday
eser: yapıt
nefes: soluk
eş anlamlı: anlamdaş
nehir: ırmak
ev: konut
nesil: kuşak
fakir: yoksul
nezir: adak
fark: ayrım
okul: mektep
fayda: yarar
ortalama: vasat
fena: kötü
oy: rey
fikir: düşünce
öğrenci: talebe
gemi: vapur
öğretmen: muallim
gezgin: seyyah
öğüt: nasihat
gezmek: dolaşmak
önder: lider
gezi: seyahat
örnek: misal
gökyüzü: sema
öykü: hikâye
görev: vazife
özverili: fedakâr
gözlem: rasat
problem: sorun
güç: kuvvet
rey: oy
güçlü: kuvvetli
rüştiye: ortaokul
hadise: olay
rüzgar: yel
saadet: mutluluk
sabit: durağan
sağlık: sıhhat
sakınmak: kaçınmak
savaş: muharebe
sayı: adet
sebep: neden
sefer: yolculuk
sevgi: aşk
sevi: aşk
seyyah: gezgin
sıhhat: sağlık
sıra: dizi
sıradan: alelade
sıvı: likit
soluk: nefes
sonuç: netice
sorun: problem
sözcük: kelime
şahıs: kişi
şehir: kent
şöhret: ün
şöhretli: ünlenmiş
şüphe: kuşku
tabiat: doğa
talebe: öğrenci
tane: adet
tatlı: helva
tavsiye: öneri
tecrübe: deneyim
tehlike: risk
teklif: öneri
temiz: pak
tercih: seçim
terim: tabir
tertemiz: pırıl pırıl
tıp: hekimlik
tümce: cümle
ufak: küçük
ün: şöhret
ünlenmiş: şöhretli
us: akıl
usta: mahir
ücret: maaş
ünlü: meşhur
üzgün: mutsuz
vapur: gemi
vasat: ortalama
vazife: görev
yabancı: ecnebi
yakın: samimi
yalan: palavra
yapıt: eser
yarar: fayda
yasa: kanun
yazın: edebiyat
yel: rüzgar
yetenek: kabiliyet
yolculuk: sefer
yönetim: idare
yürek: kalp
zayıf: cılız
zelzele: deprem
ılımlı: ılıman
zıt: karşıt
ılıman: ılımlı
zor: güç
zorla: mecburiyetle
ıslak: rutubetli
zorunlu: mecburi
ısrar: diretme
zuhur: doğuş
